# Grade identity and physical constants. One row per grade, joined to
# docs/specs.csv on (family, grade) - the two files must use identical keys.
#
# docs/build-grades.mjs writes the Equivalent Grades table and the Chemical
# Composition table onto every page from this file and docs/chemistry.csv, and
# lints every page's title, meta and JSON-LD for an identifier that contradicts
# the grade the page is about.
#
# WHY THIS FILE EXISTS: on 2026-08-22 an audit of all 778 published pages found
# 4 grades publishing conflicting UNS numbers, 24 conflicting Werkstoff numbers,
# 51 grades whose sibling pages disagreed on chemistry and 61 density/melting
# disagreements - incoloy/800/round-bar cited 2.4952, which is Nimonic 80A's
# number, and monel/K-500/sheets carried Monel 400's density. Same failure the
# prices and the specs had before their CSVs existed: the same figure typed onto
# a form page, a form hub and a grade hub, with nothing keeping them in step.
#
# ---------------------------------------------------------------------------
# THE GATE: a row is published only when `checked` holds a date AND `source`
# names a bulletin. Rows marked `pending` are NOT written to any page - their
# pages keep the hand-written tables until a human verifies the row. This is
# what makes the migration safe: filling the file changes nothing until it has
# been checked, and the lint reports contradictions from day one either way.
# ---------------------------------------------------------------------------
#
# FILL A CELL ONLY FROM A MILL TECHNICAL BULLETIN. Special Metals publishes
# INCONEL, INCOLOY, MONEL and NIMONIC; Haynes International publishes HASTELLOY
# and HAYNES; ATI publishes AL-6XN. Never fill a cell from a distributor
# listing, and never from this site's own pages - the audit above proves the
# pages disagree, so seeding from them would launder today's errors into a
# "source of truth". Where a mill publishes no identifier the cell is "-";
# do not substitute a plausible-looking number.
#
# COLUMNS
#   family, grade    join key, must match docs/specs.csv exactly
#   uns              UNS number, or "-" where none is assigned. --check errors
#                    if this disagrees with the uns column in docs/specs.csv.
#   wnr              Werkstoff / EN material number, or "-"
#   en_name          EN symbolic designation (NiCr22Mo9Nb), or "-"
#   density_g_cm3    BARE NUMBER in g/cm3 - no units, no "~", no range. It is
#                    kept machine-readable on purpose: build-grades.mjs emits
#                    docs/grades.json from this column so a weight calculator
#                    can consume it directly. A range here breaks that.
#   melting_c        melting range in C as the mill publishes it, e.g. 1290-1350
#   source           the bulletin the row was read from, or "pending"
#   checked          YYYY-MM of verification, or empty while pending
#
# Some grades appear twice because the form hubs group them differently
# (nickel-alloy/Inconel 600 and inconel/600 are the same material). --check
# requires rows that share a UNS to agree on wnr, en_name and density, so the
# duplication is guarded rather than free to drift.
#
# REVIEWED QUARTERLY, like prices.csv. Bulletins get revised and standards get
# rescoped, so a row is only as good as the day it was checked against its
# source. Each pass re-verifies one family and bumps its `checked`.
#
# After editing: node docs/build-grades.mjs   then commit the changed pages.
# node docs/build-grades.mjs --check reports drift and contradictions, exits 1.

family,grade,uns,wnr,en_name,density_g_cm3,melting_c,source,checked
inconel,690,N06690,2.4642,,8.19,1343-1377,Special Metals INCONEL alloy 690 bulletin,2026-08
inconel,693,N06693,,,7.77,1317-1367,Special Metals INCONEL alloy 693 bulletin,2026-08
inconel,718,N07718,2.4668,,8.19,1260-1336,Special Metals INCONEL alloy 718 bulletin,2026-08
inconel,725,N07725,,,8.31,1271-1343,Special Metals INCONEL alloy 725 bulletin,2026-08
inconel,740H,N07740,,,8.05,1288-1362,Special Metals INCONEL alloy 740H bulletin,2026-08
inconel,751,N07751,,,8.22,1390-1430,Special Metals INCONEL alloy 751 bulletin,2026-08
inconel,783,R30783,,,7.81,1336-1407,Special Metals INCONEL alloy 783 bulletin,2026-08
inconel,X-750,N07750,2.4669,,8.28,1393-1427,Special Metals INCONEL alloy X-750 bulletin,2026-08
# THIS ROW IS ALLOY 330 (RA330), not INCOLOY alloy DS, despite the key. The key
# has to be "DS" to match the /incoloy/DS/ URL segment - that is how
# build-grades.mjs resolves a page to a row - but the page at that URL covers
# BOTH grades, and this row holds the one its ASTM specs describe.
#
# The two are close cousins, not the same material, and the mill sheets disagree
# on every column:
#              Alloy 330 / RA330      INCOLOY alloy DS
#   W. Nr.     1.4886                 1.4862
#   Spec       ASTM B536/B511/B535    B.S. 3073 NA17
#   Cr %       18.0-20.0              17.0-19.0
#   Si %       1.0-1.5                1.9-2.6
#   Mn %       2.0 max                0.8-1.5
#   C %        0.04-0.08              0.10 max
#   density    7.94                   7.86
#   melting C  1343-1393              1330-1400
# Registers do list Incoloy DS against N08330 too, but that silicon band sits
# above the ASTM grade's, so the equivalence is a marketing one. There is no
# row for DS itself yet: build-grades.mjs maps one grade per page and cannot
# write two identity tables onto a combined page, so DS's figures live in the
# hand-written comparison table on the hub. Do not "fix" this by giving DS a
# second row carrying N08330 - --check would then see two rows sharing a UNS
# and disagreeing on wnr and density, which is exactly the contradiction it
# exists to catch.
#
# "Incoloy 330", which these pages used to be named for, is a trade misnomer
# welding the Incoloy brand onto the generic 330 number. It names neither grade.
#
# 1.4864 (X12NiCrSi35-16) is a third grade in the same family at Cr 15-17, and
# was cited on the foil and plates pages for N08330 until 2026-08-24.
# en_name is left EMPTY, not "-": the RA sheet prints "W. Nr./EN: 1.4886, 10095",
# naming the number and the standard but no symbolic designation, so it is
# unverified rather than absent. The seeded 8.08 / 1371-1427 were both wrong -
# the sheet says 0.287 lb/in3 and 2450-2540 F.
# SOURCE NAMED FOR THE SHEET ACTUALLY READ. This row holds alloy 330 / RA330,
# per the block above, so its source is the RA data sheet the figures were taken
# from - NOT a Special Metals INCOLOY DS bulletin, which describes the other
# grade. Correct the wording here if a different sheet was used.
incoloy,DS,N08330,1.4886,,7.94,1343-1393,Rolled Alloys RA330 data sheet,2026-08
incoloy,800,N08800,1.4876,X10NiCrAlTi32-21,7.94,1357-1385,Special Metals INCOLOY alloy 800 bulletin,2026-08
incoloy,800H,N08810,1.4958,X5NiCrAlTi31-20,7.94,1357-1385,Special Metals INCOLOY alloy 800H bulletin,2026-08
incoloy,800HT,N08811,1.4959,X8NiCrAlTi32-21,7.94,1357-1385,Special Metals INCOLOY alloy 800HT bulletin,2026-08
incoloy,825,N08825,2.4858,NiCr21Mo,8.14,1370-1400,Special Metals INCOLOY alloy 825 bulletin,2026-08
# A-286, read from the ATI A286 technical data sheet. Density 0.287 lb/in3
# (7.94 g/cm3) confirms the seed; the melting range did not - it was seeded
# 1370-1400 and ATI prints 2500-2600 F, which is 1371-1427 C.
#
# WERKSTOFF AND EN NAME ARE CLEARED, NOT DASHED, and this one is worth being
# precise about: 1.4980 / X6NiCrTiMoVB25-15-2 are very probably right for this
# alloy. They are cleared anyway because the ATI sheet prints no Werkstoff
# number for anything, so it cannot be the source for them, and `source` names
# exactly one document. Keeping a plausible number under a citation that does
# not contain it is how a "source of truth" launders guesses - the failure this
# whole file was built to stop. Empty means unverified, so the row simply does
# not print until someone reads a sheet that does publish them.
incoloy,660 (A286),S66286,,,7.94,1371-1427,ATI A286 technical data sheet,2026-08
incoloy,890,N08890,-,-,7.94,1309-1383,Special Metals INCOLOY alloy 890 bulletin,2026-08
incoloy,903,N19903,-,-,8.25,1318-1393,Special Metals INCOLOY alloy 903 bulletin,2026-08
incoloy,909,N19909,-,-,8.19,1395-1430,Special Metals INCOLOY alloy 909 bulletin,2026-08
# 2.4852 is alloy 925's own number, not a carry-over: 601 is 2.4851, one digit
# away, and the two are easy to transpose. Special Metals does not print it -
# the bulletin heads this grade "(UNS N09925)" where it heads 825
# "(UNS N08825/W.Nr. 2.4858)" - because 2.4852 is an SEL (Stahl-Eisen-Liste)
# number. So this row's identifiers come from the German register and the mill
# bulletin between them, and neither one alone confirms the pair.
incoloy,925,N09925,2.4852,NiCr20FeMo3TiCuAl,8.08,1311-1366,Special Metals INCOLOY alloy 925 bulletin,2026-08
# The 945 bulletin heads the grade "INCOLOY alloy 945 (UNS N09945)" and prints
# no Werkstoff number, so wnr and en_name are EMPTY, not "-" - the same call
# made for Inconel 693/725/740H/751/783. Blank says "not verified yet"; a dash
# would claim the mill states there is none, and only a register can settle
# that. /incoloy/945/round-bar/ carried "DIN 2.4962, EN 10095" until
# 2026-08-24: no other page on this site cites 2.4962, so it is not a sibling
# carry-over, and EN 10095 covers heat-resisting grades - 945 is an oil-country
# precipitation-hardening alloy outside its scope. Both were dropped, not
# replaced. The seeded 8.20 / 1320-1370 were close but not the mill's: Table 2
# says 8.2 g/cm3 and 1270-1377 C (2317-2510 F).
# Special Metals publishes no Werkstoff number and no EN designation for 945, so
# both cells are "-" rather than empty. Empty would mean "not checked yet" and
# would drop the rows from the table silently; "-" prints a dash and tells the
# reader the designation does not exist.
incoloy,945,N09945,-,-,8.2,1270-1377,Special Metals INCOLOY alloy 945 bulletin,2026-08
# Haynes has withdrawn B-2 - it is absent from their portfolio, which lists B-3
# as the B-family alloy. VDM still makes it, but under the brand name
# NIMOFER 6928 rather than "VDM Alloy B-2", which is why an earlier note here
# claimed VDM had no B-2 sheet: the search was for the wrong name, not for a
# missing document. VDM's designations block gives 2.4617 / NiMo28 / N10665
# together, so the seeded Werkstoff number and EN name were right all along.
# Chemistry and density come from ASTM B333.
#
# THE SEEDED 9.22 WAS RIGHT AND AN EARLIER NOTE HERE WAS WRONG TO SUSPECT IT.
# It reads identically to B-3's density and that looked like the sibling
# carry-over this file exists to catch - but B333 section 7.1 lists 0.333 lb/in3
# (9.22) for N10665, N10675 AND N10629 alike. The three really do share a
# density; identical is not the same as copied.
#
# MELTING RANGE STAYS EMPTY. ASTM publishes none and the VDM designations block
# does not carry one; the seeded 1330-1380 is still unsourced. Empty drops that
# row rather than asserting a figure under a citation that does not contain it.
hastelloy,B-2,N10665,2.4617,NiMo28,9.22,,VDM NIMOFER 6928 (Alloy B-2) and ASTM B333,2026-08
# EN name was NiMo28Fe. Haynes' own Specifications table prints "DIN 17744 No.
# 2.4600 NiMo29Cr", and NiMo29Cr is what B-3 is: B333 gives it Mo 27.0-32.0 with
# a specified Cr 1.0-3.0, so chromium is an alloying element here and iron is
# only 1.0-3.0. NiMo28Fe describes a different material. The Werkstoff number
# 2.4600 was already right.
hastelloy,B-3,N10675,2.4600,NiMo29Cr,9.22,1370-1418,Haynes International HASTELLOY B-3 alloy page,2026-08
# Haynes publishes no melting range for C-4 so the cell is EMPTY - the seeded
# 1350-1385 had no source behind it. VDM's Alloy C-4 sheet says 1335-1380 °C but
# also 8.6 g/cm3 against Haynes' 8.64; taking one figure from each mill would be
# cherry-picking, so the density is Haynes' and the range waits for Haynes.
hastelloy,C-4,N06455,2.4610,NiMo16Cr16Ti,8.64,,Haynes International HASTELLOY C-4 alloy page,2026-08
hastelloy,C-22,N06022,2.4602,NiCr21Mo14W,8.69,1357-1399,Haynes International HASTELLOY C-22 alloy page,2026-08
# HASTELLOY is Haynes International's trademark, so identity and the physical
# constants are theirs. VDM Metals makes the same alloy as VDM Alloy C-276 /
# Nicrofer 5716 hMoW, and Table 1a of its Material Data Sheet 4115 rev. 02
# (March 2022) independently confirms 2.4819 - NiMo16Cr15W and UNS N10276.
# Where the two mills differ, Haynes' figure is recorded because the pages are
# branded HASTELLOY: density 8.89 against VDM's 8.9, and melting 1323-1371
# (2415-2500 F) against VDM's 1325-1370, which is what this row was seeded
# with. The difference is a rounding of the same measurement, not a dispute.
# ASTM B575 section 8.1 lists 8.87 for weight calculations, from the same
# 0.321 lb/in3 Haynes prints - a third rounding of one figure, not a fourth
# opinion. B575's numbers for C-22, C-4 and C-2000 match Haynes exactly.
hastelloy,C-276,N10276,2.4819,NiMo16Cr15W,8.89,1323-1371,Haynes International HASTELLOY C-276 alloy brochure,2026-08
hastelloy,C-2000,N06200,2.4675,NiCr23Mo16Cu,8.50,1328-1358,Haynes International HASTELLOY C-2000 alloy page,2026-08
# Haynes publishes no melting range for G-30 either - same call as C-4 above, the
# cell is empty rather than carrying the unsourced 1332-1371 it was seeded with.
hastelloy,G-30,N06030,2.4603,NiCr30FeMo,8.22,,Haynes International HASTELLOY G-30 alloy page,2026-08
# Alone in this family, the Haynes Specifications table prints "DIN -" for N: no
# standard, no Werkstoff number, no EN name. So the seeded 2.4110 is not carried
# by the source this row cites, and wnr goes EMPTY rather than being published
# under it. Empty, not "-", for the reason the Incoloy 945 row gives: a dash
# would claim the mill states no number exists, and only the German register can
# settle that. 2.4110 is widely quoted for this alloy and may well be right -
# it needs a register entry, not a repetition.
hastelloy,N,N10003,,,8.86,1300-1400,Haynes International HASTELLOY N alloy page,2026-08
# The best-corroborated row in this family: two mills making the same UNS number
# independently agree. Special Metals' INCONEL alloy HX sheet gives N06002,
# W.Nr. 2.4665 and melting 1260-1355 C (2300-2470 F) - identical to Haynes on
# every figure. Density is 8.2 there against Haynes' 8.22 and both print
# 0.297 lb/in3, so it is one measurement rounded twice; the more precise figure
# is kept. Haynes' own Specifications table also prints DIN 17742 No. 2.4665
# NiCr22Fe18Mo which confirms the Werkstoff number and the EN name.
hastelloy,X,N06002,2.4665,NiCr22Fe18Mo,8.22,1260-1355,Haynes International HASTELLOY X alloy page,2026-08
# --- MONEL and NIMONIC, verified against the Special Metals bulletins ---------
#
# TWO CONVENTIONS THIS BATCH SETTLED, because these bulletins are shaped
# differently from the INCONEL ones read earlier:
#
#   en_name is EMPTY, not "-". Every one of these sheets prints the UNS and
#   Werkstoff numbers in the grade's opening line and no symbolic designation
#   anywhere - exactly the INCONEL X-750 case noted above, where silence about a
#   symbolic name is not a statement that none exists. So the seeded NiCu30Fe,
#   NiCr20Ti, NiCr20TiAl, NiCr20Co18Ti, NiCo20Cr20MoTi and NiCu30Al are all
#   removed: they are plausible DIN names, but no bulletin here prints one, and
#   this file may not be filled from plausibility. Restore them from DIN 17742 /
#   17743 if someone reads those standards and names them as the source.
#
#   wnr may hold TWO numbers, written "2.4360 / 2.4361" like the duplex 2205 UNS
#   pair. Special Metals prints two for Monel 400, Nimonic 75 and Nimonic 80A -
#   "(UNS N04400/W.Nr. 2.4360 and 2.4361)" - and publishing only the first is
#   what made nimonic/75 and nimonic/80A lint as page-vs-CSV contradictions when
#   the pages carried the second. Both pages were right and this file was short.
#
# MONEL 400 is also listed under the nickel-alloy family key further down. The
# two rows share a UNS, so --check compares them - keep both in step.
monel,400,N04400,2.4360 / 2.4361,,8.80,1300-1350,Special Metals MONEL alloy 400 bulletin,2026-08
# R-405 is the free-machining version of 400 and its sheet is an addendum: it
# heads the grade "(UNS N04405)" with no Werkstoff number while the companion
# 400 sheet prints two, so here the omission IS the mill's statement and wnr
# reads "-". The seeded 2.4360 was 400's number carried across - the same
# copy-the-sibling error the audit found on incoloy/800/round-bar.
#
# Density and melting range are genuinely published FOR R-405: its own Table 3
# reprints the physical constants under the footnote "These values also apply to
# MONEL alloy R-405". They are not inferred from the 400 sheet.
monel,405,N04405,-,,8.80,1300-1350,Special Metals MONEL alloy R-405 bulletin,2026-08
monel,K-500,N05500,2.4375,,8.44,1315-1350,Special Metals MONEL alloy K-500 bulletin,2026-08
nimonic,75,N06075,2.4951 / 2.4630,,8.37,1340-1380,Special Metals NIMONIC alloy 75 bulletin,2026-08
# Melting range was seeded 1360-1390 and the bulletin says 1320-1365. Density
# 8.19 was right.
nimonic,80A,N07080,2.4952 / 2.4631,NiCr20TiAl,8.19,1320-1365,Special Metals NIMONIC alloy 80A bulletin - EN designation NiCr20TiAl from the voestalpine BOHLER Alloy 80A / N07080 / 2.4952 product page which also confirms the UNS Werkstoff density and melting range,2026-09
# 81 and 86 are the two NIMONIC sheets that print no identity line at all - no
# "(UNS .../W. Nr. ...)" parenthetical of the kind 75, 80A, 90, 105, 115, 263
# and 901 all carry. uns stays "-" because neither alloy was ever registered,
# which is also what specs.csv says; wnr goes EMPTY rather than "-" because a
# sheet that says nothing about Werkstoff numbers has not told us there is none.
#
# Both melting ranges are removed. The 81 sheet publishes a solidus and liquidus
# and no range as such, so it is written from those two figures; the 86 sheet
# publishes density alone and no melting data whatsoever, so the seeded
# 1300-1400 came from nowhere and the cell is emptied. 86's density was seeded
# 8.15 and the bulletin says 8.54 - a 5% error, and density is what the weight
# calculator quotes from.
nimonic,81,-,,,8.06,1305-1375,Special Metals NIMONIC alloy 81 bulletin,2026-08
nimonic,86,-,,,8.54,,Special Metals NIMONIC alloy 86 bulletin,2026-08
# NIMONIC 90 IS NOW CONFIRMED BY THREE SOURCES. Special Metals for the
# constants; Alloy Wire International AWS 030 Rev.3 and voestalpine BOHLER L090
# (10.2025) independently for the identity. Both of the latter print BOTH
# Werkstoff numbers 2.4632 and 2.4969 - the second was missing here until
# 2026-09-02 and its absence would have made any page citing it lint as a
# contradiction.
#
# en_name RECORDS NiCr20Co18Ti ONLY. BOHLER groups NiCr20Co18Ti and NCK20TA
# together under a heading of EN, and Alloy Wire lists NCK 20TA too, so the
# designation is real - but this column is the EN SYMBOLIC name, the
# NiCr22Mo9Nb pattern, and NCK20TA is an AFNOR-style French designation in a
# different naming system. Printing it in a row labelled EN designation would
# tell a buyer it is something it is not. There is no column for it yet, which
# is why it is written down here instead of being quietly dropped.
nimonic,90,N07090,2.4632 / 2.4969,NiCr20Co18Ti,8.18,1310-1370,Special Metals NIMONIC alloy 90 bulletin for the constants - identity Werkstoff pair and EN designation corroborated by Alloy Wire International AWS 030 Rev.3 and voestalpine BOHLER L090 10.2025,2026-09
# The 105 sheet does print a melting range, but as two separately labelled lines
# under the heading - "Liquidus temperature 1345°C" and "Solidus temperature
# 1290°C" - rather than as one hyphenated figure like the other sheets, which is
# why an earlier read recorded it as absent and emptied the cell. Restored as
# solidus-liquidus, the same convention alloy 81 uses. The seeded value this
# replaces was 1290-1330: the solidus was right and the liquidus was not.
nimonic,105,-,2.4634,-,8.01,1290-1345,Special Metals NIMONIC alloy 105 bulletin,2026-08
# 115 was seeded as having no Werkstoff number and the bulletin heads it
# "(W. Nr. 2.4636)". Melting range corrected from 1250-1315 to 1260-1315.
nimonic,115,-,2.4636,-,7.85,1260-1315,Special Metals NIMONIC alloy 115 bulletin,2026-08
# The seeded density and melting range were both right, confirmed against the
# alloy 263 Physical Properties page: 8.36 g/cm3 (0.302 lb/in3), and a liquidus
# of 1355 C with a solidus of 1300 C, which is where the 1300-1355 range comes
# from. Worth recording that they were checked rather than assumed - being right
# and being verified are different states, and only the second one publishes.
nimonic,263,N07263,2.4650,,8.36,1300-1355,Special Metals NIMONIC alloy 263 bulletin,2026-08
# The lint finding this row caused: nimonic/901/plates and /round-bar carried
# W.Nr 2.4662 and were reported as contradicting grades.csv's 1.4898. The PAGES
# WERE RIGHT. 1.4898 is a heat-resisting steel number and nothing to do with
# this alloy; the bulletin heads it "(UNS N09901/W.Nr. 2.4662)". Density 8.21
# and melting 1275-1355 were also wrong - Table 2 says 8.14 and 1280-1345.
nimonic,901,N09901,2.4662,,8.14,1280-1345,Special Metals NIMONIC alloy 901 bulletin,2026-08
# --- HAYNES --- Haynes International alloy pages, read 2026-08-27. Haynes is the
# HAYNES trademark holder and the only mill source for these grades. Three things
# about reading them, each of which changed a cell here:
#
# The Specifications table carries the UNS in its own header - "HAYNES 188 alloy
# (R30188)" - and a DIN row. Only 230 has one: "17744 No. 2.4733 NiCr22W14Mo",
# which is where that row's wnr AND en_name come from. Every other grade's DIN
# row reads a dash, so their wnr is left EMPTY, following hastelloy/N above:
# publishing the widely-quoted 2.4683 for 188 or 2.4964 for 25 under a Haynes
# citation would put a number in the mill's mouth that its bulletin does not
# contain. Those seeded numbers were exactly that and have been cleared.
#
# 214 has no Specifications table at all and no density anywhere on its page, so
# its wnr, en_name AND density are empty - not dashed. The pages keep their own
# 8.05 for now, which is a lead for this file, not a fault. Melting is published.
#
# Four of the seven melting ranges the seed carried were wrong, not slightly:
# 188 read 1302-1330 against the bulletin's 1315-1410, and 242 read 1320-1353
# against 1290-1375. 25's density read 9.13 against 9.07.
# 25's Werkstoff and EN name come from voestalpine BOHLER's L605 sheet, whose
# Material designation block prints "2.4964 SEL", "CoCr20W15Ni EN" and "R30605
# UNS" together - the UNS agreeing with Haynes is what ties the two documents to
# the same material. Haynes' own DIN row is a dash, so these two cells would
# otherwise stay empty; they are identity, which is specification-independent.
#
# THE EN NAME KEEPS ITS TRAILING "i" although BOHLER's Engineering-segment PDF
# (l605-engineering_en_gb, read 2026-08-27) prints "CoCr20W15N" - one text run,
# no kerning split, so it is what that file really contains. It is a dropped
# character and not a second designation: without the "i" the last symbol reads
# as nitrogen, which this alloy does not specify at all, while the same PDF's
# own description calls it a "cobalt, chromium, tungsten, nickel alloy" - the
# four elements the name enumerates. Recorded rather than silently normalised,
# because the next person to open that PDF will see the short form and wonder.
#
# BOHLER'S COMPOSITION IS NOW USED FOR THE CHEMISTRY TABLE - reversed on
# 2026-08-27, and the reasoning that had refused it is worth keeping rather than
# deleting. That objection was that the BOHLER sheet is scoped to ISO 5832-5 /
# ASTM F90 while this site sells 25 to AMS 5537 and AMS 5759 for high-temperature
# service, so F90 limits under pages citing AMS 5537 would be the
# wrong-specification error one column over. What it missed is that the error it
# was avoiding is a SILENT one: it is wrong to let F90 limits read as AMS 5537's,
# which is a fact about the caption, not about the numbers. Naming the standard
# in `source` below fixes that directly, and the page now says which document
# gave which half.
#
# What refusing cost was worse than what it avoided. Falling back to Haynes'
# nominal column left three sibling pages that had been contradicting each other
# - Cr 19-21 against 19-22, W 14-16 against 14-17, C 0.05-0.15 against 0.07-0.11
# - agreeing at last on figures no buyer can hold a heat to, with the P and S
# limits dropped for want of anywhere to put them. A nominal column is honest
# about its own weakness and still answers the wrong question.
#
# THE FORM SCOPE IS FINE and is what makes this different from the B443-on-wire
# error the phrase "one column over" borrows from. F90 is a WROUGHT specification
# covering bar rod and wire and the BOHLER sheet says "the properties specified
# apply specifically to wrought bar, rod, wire" - the same wrought product this
# site sells. It is a different standard for the same alloy in the same forms,
# not a standard written for a form the page does not sell.
#
# STILL NOT CLAIMED: that these are AMS 5537's limits. Nobody has read AMS 5537
# here. If its text or a mill certificate turns up and its limits differ, this
# table changes and the source line changes with it. See chemistry.csv.
haynes,25,R30605,2.4964,CoCr20W15Ni,9.07,1330-1410,Haynes International HAYNES 25 alloy page (identity and physical constants) and voestalpine BOHLER L605 datasheet to ASTM F90 / ISO 5832-5 (composition limits),2026-08
haynes,188,R30188,,,8.98,1315-1410,Haynes International HAYNES 188 alloy page,2026-08
haynes,214,N07214,,,,1355-1400,Haynes International HAYNES 214 alloy page,2026-08
# 230 is the one grade in this family with real composition LIMITS rather than a
# nominal column, because ATI publishes a Limiting Composition table for the same
# UNS and names the standard it belongs to. Its identity agrees with Haynes twice
# over - "DIN 17744 W.-Nr. 2.4733 and NiCr22W14Mo" and density 8.97 - which is
# what makes the two documents safe to cite together. Melting is Haynes only.
